essay_id	essay_set	essay	rater1_domain1	rater2_domain1	rater3_domain1	domain1_score	rater1_domain2	rater2_domain2	domain2_score	rater1_trait1	rater1_trait2	rater1_trait3	rater1_trait4	rater1_trait5	rater1_trait6	rater2_trait1	rater2_trait2	rater2_trait3	rater2_trait4	rater2_trait5	rater2_trait6	rater3_trait1	rater3_trait2	rater3_trait3	rater3_trait4	rater3_trait5	rater3_trait6
1039	1	"Dear @ORGANIZATION1, Some parents are concerned about their child being on the computer all the time. Now I'm going to talk about @NUM1 good things about computers. @NUM1 bad things, and @NUM1 things on what you should do. One good thing is that you get to talk to people. You could talk to your friends online about something in school or whatever. Thats good because what if you frogot what was homework or you need help on something, you could go online and ask them. Another reason why is that you get to meet @ORGANIZATION1 people. For example @CAPS1 or facebook. When you meet @ORGANIZATION1 people online they mostly come from a different country that you never heard about and then you just learned some thing @ORGANIZATION1 and you have a friend from @ORGANIZATION3, @CAPS2, or @LOCATION1. One more good thing their is, is that you learn @ORGANIZATION1 things online about anything. It could be a @ORGANIZATION1 website that you never heard about and something that can help you in the future. For example @ORGANIZATION2. @ORGANIZATION2 could help you out a lot. Now where going to talk about @NUM1 bad things that computers do. The first bad thing that computers do is that they make you adicted. For example me I got adicted when I had a computer but not I'm not we got rid of ours and now I just play with my sisters. The second bad things is viruses. My grandmothers computer got a virus off of a website that website was @CAPS1. When you get a virus it sucks you cant do anything or you can't look anything up for school. Getting viruses are not cool you have to wait a week or so before they fix it. The last bad thing is that you never want to spend time wit your family. I know some people who do that like its not cool if company comes over get off the computer. Since I dont have much time left I'm going to talk about one thing you should do. You should have a certain amount of time on the computer and go have fun and do what you want to do except go on the computer. Thats what I think you should for now."	4	4		8																					
1041	1	"I think that people shouldnt use the computer's that much because it make's you want to be on it and on it day. Like yea you can play games on it and talk to people like other people you use of lec see I can understand that but the other people around you like that live's with you people that on the computer all day can spend time with there family and friends and to other places then going to look at them on the computer's I mean like to see other people that you see on the computer like chat or like webcam on the computer, you can maybe go see in a other state and go visited them. then being on the computer people that always on the computer should get out because there never going to do things is they are always on the computer, like when @CAPS1 on the computer @CAPS1 on it for a hour are so the I do things with family and friends, but not all the time that @CAPS1 on it, like i understand if you work on the computer at work and then finishing things at home for your work, but once in a you get to spend some time with family and friends, not @CAPS4 be on it all the time. Some people @CAPS4 come home and @CAPS4 go on the computer and that how people get lazy the start getting fat because they @CAPS4 go on the it and maybe stop to eat and back on the computer, then when they get off of it they will eb all tierd and stuff not feeling like going anywere @CAPS4 to sleep or like if they had sometimes to do after they would be all lazy an not wanted to do anything at all, that why people should get out more and do thing withe there family and friends to have fun withe there like."	3	3		6																					
1051	1	"Dear Local Newspaper, @CAPS1 society should have computers because it teaches you things that a school or job will never teach you, and it allows you to be in contact with your friends and family that you don't see a lot. I would like for you to appreciate my concern on how @CAPS1 society should have computers. First, we should have computers because it teaches us things that we might not have been taught before. I say this because if you wanna know about the @LOCATION1 more and the school or job doesn't teach you as much as you wanna know, then all you have to do is look up on the internet and theres a chance you gonna find it. @NUM1 people would rather have computers to look up things instead of not knowing that much about something at all. Next, we should have computers for @CAPS1 society because we could contact people online that we heven't spoke to. My opinion is that if you haven't to a friend or family member in a while you can talk to them online. Also, if they don't have a phone or if they do but it's long distance and you can't talk to long distance on your phone, you can tlak to them on or email each other, etc. Sample say if your phone isn't working and the only thing that's working is your computer you to it in contact with somebody. All you gotta do is talk to them online. Would you rather talk on the phone or computer. In conclusion, @CAPS1 society should have computers because we could learn about things more and we could chat with people. I would like for you to aprreciate my concern on having computers in @CAPS1 society."	3	4		7																					
1060	1	"Dear local newspaper, @CAPS1 a place where they are all on computers all day long, everyday. I don’t think computers are a benefit to society because you get less time exercising, less time enjoying nature, and you spend less time with family and friends. Computers are not a benefit to society. To begin, computers are not a benefit to society because it gives you less and less time exercise. And wouldn’t you want to go exercise and lose weight. Other than just sitting around on your new computer and having your brain being wrecked out by it. @PERSON1 said that @PERCENT1 of people that get a new computer spend @NUM1 minutes more than what time they usually spend on it. Next, is that you could be outside enjoying nature. New @CAPS2 @CAPS3 Newspaper said that they are worried that it too many people got a good computer that no body would be outside enjoying what left of nature. Because sooner or later there wont be any trees left in the world and humans would became extinct for eternity. Lastly, is that you wont be spending any time with your family or friends. Like when I got x-box live, I couldn’t get off of it. I was addicted to it. And when my family got our new computer, my older sister couldn’t get off of it. She would spend all day and all night on it. Now, if parents take the computer away from kids they will have more time to exercises more time to enjoy nature, and more time with family and friends. Computers are not good toward society."	4	4		8																					
1063	1	"Computers can be very useful to people. They can help contact friends and family from all over the world. You might need it for typing a paper for school or work, and you can use the internet. If you had a friend or family member move away, computers are an easy way to contact them. Phones dont always give you that option to call from around the world. Say your bestfriend moved out of the country you could email them or instant message them through computers. What if you want to chat with someone right next door even if theres a blizzard and the snow is four feet, computers are a simple way to contact them. When my friend went to @LOCATION1 for the @DATE1 I used instant messaging to talk to her. Imagine your at work or school and you were asked to write a five page essay. Do you really want to write it all? Imagine you, writing out hundreds of those newspaper everyday. Typing is an easy solution that doesnt require as much work and it takes less time. Typing also makes work a lot neater and easier to read. Not even a library has all the information you need. What if you need to write an article for your newspaper about a newly discovered animal? A library wont immediately buy new books about it. The internet is an ideal way to get information the moment it happens. What if a celebrity got hit by a bus or a rocket in space just landed sucesfully? You cant expect to go to the other side of the country to watch and take notes. The internet gives information on anything possible. The internet also allowes students to take online schools or classes. When my oldest brother couldnt take @CAPS1 in high school when it was needed for college, he took an online @CAPS1 class at home. The internet also helps you find vacation spots when your going away from home what if you need a plane, train, boat ticket? What if you need to rent a car but you cant go over to the store or airport. You can go online to purchase tickets. Have you ever heard someone say ""@CAPS3 it upon google"" when they dont know the answer to something? I remember my friend telling me about her new dog, I never even heard of. When I got home I went on the internet and researched it. The internet is a very useful tool to everyone. Going on a computer allows you to talk to anyone, anywhere, type anything needed, or to use the internet. The computer makes life a little easier and its fun too, and would be a handy tool for writing a newspaper."	5	5		10																					
1073	1	"To my opinion computers have a negative effect on people I think it has a negative because it causes people to get less exercise you spend less time with your family and friends and it distracts you from things get done. First of all computers have a negative effect on people because it causes them to get exercise. For example, there are many football, soccer and baseball games practicingg these they will just computer on the webcam all night. Another way is that you can get work done. WIthout even leaving your house. You can shop online, stay home and work online, and even go to college those things include getting out around, but now you can just day and do those things and be lazy. Second, the computer causes you to interact with people less. Now, when family or friends. i went over my I sat right and she didn't even look at me playing computer games. i know that a lot more kids too because I was reading in a magazine that @PERCENT1 of interacting with their kids as much as they got a computer. Lastly, i think the computer has a negative effect because it them. It distracts kids conversations first of all when people to talk with someone on the computer it is very hard because, they are absorbent in they're doing. Secondly, the computer distracts kids from homework. I know this first hand, because wherever I have in type up assignments I get and end up going on different websites, and not getting my work done. lastly, it distracts kids from household chores. Some kids just put them to the side and forget to do them because they're budy playing game or surfing the web. i know that if I did I'd get in big trouble. Those are the reasons why I think the computer has a negative effect on people. Because, it causes them to get less exercise, they don't interact with people, as much, and it distract them. So unless you want all those things happening to you, I suggest you spend less those on the computer!"	4	4		8																					
1081	1	"Dear @LOCATION1 @CAPS1, I think computers have bad effects on the people in this world. Yea they have their plus' and negatives hut computers are some what dangerous. Some people who use computers use them for the wrong reasons. Some people search porn sites, and hack into servers. I believe computers are supposed to be used for positive things not negative things. Another reason why I'm against computers is the people online are dangerous. A lot of people think they're talking to one person but it's really not that person. It could be anyone. Nowadays, people just give out information to random people. This is how kidnappings and murder happens in our world. @CAPS3-@CAPS2 is also a major problem with computers. (@CAPS3-@CAPS2) - means @CAPS2 someone over the computer. The effect of that is someone getting hurt on a crime not being solved. People also spend way too much time using computers. Instead of getting outside and enjoying nature, they waste time on computers. This is also the cause of a lot of obesity. People become obese due to not gettiing out and excercising. This world uses computers for the wrong reasons. This needs to change."	4	3		7																					
1082	1	"Dear @CAPS1, You use a computer a lot right? Good if you @CAPS7 because @CAPS7 you beleive that experts are questioning why @CAPS5 use them a lot? Well I think people need them because its how @CAPS5 know whats going on in the world, its how @CAPS5 know how the weather is like so accidents can be avoided, and you you can flip on your @CAPS2.V., but than you have to wait for what you want to go on. So you decide @ORGANIZATION1, should @CAPS5 be outside more? Don’@CAPS2 you need to know whats going on too? Of course you @CAPS7, everyone does. I think that it is important that @CAPS5 know @CAPS4 a meteor is about to strike the world no? President @PERSON2 even says the computer is where @PERCENT2 of the world gets info. On whats going on. Are you just going to sit there and not listen to the president of the @LOCATION1? Don’@CAPS2 think so. Im @PERCENT1 sure that @ORGANIZATION1 doesn’@CAPS2 want to be known as the accident State. Well thats why @CAPS5 need the computer! For people to know if I will snow, sleet, or if there is bad traffic than @CAPS5 need to go to the internet to find out @CAPS4 and where and what time. CEO of @CAPS3, @PERSON1, says “@CAPS4 someone says ‘@CAPS5 might be getting some snow or rain’ than they usually go right to the internet ” You you can turn on your @CAPS2.V. to find out whats going on, but not all of it you will want/need to know. So you will have to wait. The internet just does it right on the spot. No waiting involved! (unless you have a bad internet connection) @CAPS7 you think these reasons are making a good argument? I @CAPS7. @CAPS7 you use your computer for finding out whats going on, what the weather is like, and instead of the @LOCATION2? If so I think you would aggree with me."	4	5		9																					
1083	1	I think that using computer is fine. Reason why I think you have family from far away. Instead of talking hearing voice on the phone. They can talk to each other but most of all see each other. Show cool thing you have that are new. When you have a love one you can see them when there a way for a trip. Computer are helpful when your car is broken down or when you have no car. You can buy stuff at store by the comfort of your home. Almost everything you can get stuff out of store because they have online store to mail to you. Also now you can buy food on internet and lots more. Saving money computer tell you where to get good prices to save money. Lots of dating sites to meet diffent people to go out and give your commets. Texting on facebook can let you save money by texting for free. Playing free online games with your friends. You can make website and you can watch movie and show online. There just a lot of thing you can do on a computer. I know lots of people don't go outside exercise but I agree with some expert. Lot of people need to lose weight or need to go outside more to the real world. This techology people are big they don't go out more. They eat lots of food. But computer are very helpful in lots of way and its so fun. Those are my reason why I think that computer are great and sould be used more.	3	4		7																					
1085	1	"Computers have helped people tramendisly over the past years. Thanks to computer scientest have found cours for deseses, jobs have become easier and communication with friends or family have become afordable. I believe that computers have a positive effect on people because they educate people on places in the world, help people with their jobs, and give people a chance to talk to phone without having to pay for anything. Is someone a trip to a country that they might go on the computer to learn more about that country and their culture. Another thing they might do is go to a website that could have them find afordable flights or a hotel to stay at. If a child is doing a report about a country in @LOCATION1 they can go on the computer to find out facts on that country. Computers educate people about places all over the world. You can go on a website that has videos and short clips about what has been going on and learn about current events. any costs. If you want to see a friend for her birthday but don't have the money to fly halfway around the world to see her you can vidieo chat with her. Computers help people save money by talking on the computers with friends, family and even co-workers. Computers have been very helpful ever since they were invented. They help people learn about places all over the world and about anything you want to learn about. They also make jobs and work easier, and also help people save a lot of money by talking to people on the computers insted of on the phone. Computers have improved demastrecly over the years, the screens use to be so small and you would have to press all these buttons just to boot it up and now computers can be as big as a flat screen @CAPS1 and you can turn them on with just a push of a button. Who knows what computers will be like @NUM1 years from now?"	5	5		10																					
1087	1	"You say that computers are bad on todays society? @CAPS1 I'm here to prove you wrong and tell you that they can actually benefit todays society. Maybe some kids don't have phones, so they can go log onto facebook and do everything a phone has to offer and more. School. School. School; so many homework assignments and projects are assigned, and using computer programs help alot and give that proffesional touch. And how coud you forget 'google' the most famous online system, that everyone loves you can do just about anything with that page. So computers bad for society, think again and listen closely. blc computers have just benifited us more than ever. www.facebook.com, that is one of the most visited pages on the internet for all different ages, it deffinetly benefits you. Logging on and seeing your friends profile's newest updates on pictures, videos and life, you get every little detail using facebook. And I you don't have a phone, no. wornes, facebook has a chat system, so you and friends and relatives can talk, or maybe theirs a family party comingup you can get inboxed on all the information, and visit the relatives homepage and see how theyve been doing. @CAPS3 you haven't logged into facebook yet, you deffinetly will now! ""This project will be done on the computer,"" how many times do you hear a teacher says that, almost everytime youre given an assignement! @CAPS1 windows and @ORGANIZATION1 programs will really benefit you in your need for school help. Lets say you've been assigned a project to create a product commerical in computer class, you can hop right onto windows movie maker and get all the help you need, and you'll have the ability to create you project right on the program so it looks and sounds professional. One program you can always use throughout life for presentation is 'power ', In my history class we were assigned a famous person from the @DATE1's and were to do a presentation; @CAPS1 when I got my assignment I went right to powerpoint and got a great grade! lastly the known, @ORGANIZATION1 word! used for all kinds of projects or homeworks and espically writing papers or short stories, having spell check, youre garenteed a good grade! Google! Everyone knows it and everyone loves it. This web hit canbe used for just about anything. From searching pictures and information for a school projects, watching videos of songs, friends, or tv shows that you love or wonna check up on. to looking at websites. Some say the @CAPS2 holds people from exersising, but google can shows you videos of special work outs or websites on healthy eating or an on exercise group or fitness club, so now you see the internet benefits us tremendously! ""Have you change your mind? have you listened closely?"" @CAPS3 so your life just become a whole lot easier, by using facebook, for social ability, @ORGANIZATION1 and windows programs for school, and google for life and health, you have just benefitted from my writing and from using modern technology, the computer!"	6	5		11																					
1090	1	"Dear local newspaper, @CAPS1 opinion about computers is that they benifet people. they help people when they need it, it gives people entertainment. So that is why computers benifet people. @CAPS1 first reason is that a computer can help people when they need help like for instace if you have to write a paper and you need to look something up such as reseach you can use the computer or if there is a long main cwayshion then you can look up the formula. So as you can see that is why computer benifts people @CAPS1 second resson is that it gives people entertainment, such as myspace, you twitter. And those are social networks, if you like to watch tv. or listen to music there are websites for them also. So that is why I said computers give you entertainmen too. @CAPS1 third resson is that it helps people such as if you in different contries and you can't go see them you to them through instans or web cam. Or if you are home schooled and you dnt see other kids your age that can talk to the on the computer. So as you can see that why I say you can through the computer. So as you can see that is why I say computer are very benifical be cause they give you entertainment they let you communicate and they help people so."	3	3		6																					
1092	1	"Dear @CAPS1 @CAPS2 @CAPS3 @CAPS4, Are you always telling your kids to do their homework and get off the computer? Well, I might just be able to help. Computers do not benefit our society today. People are spending to much time on them; not enjoying the outdoors, and are taking away time to spend with friends and family. I believe having a limit each day on your computer might help solve these problems. The computers can be very distracting and you can use them too offten. Stairing at the computer screen can damage your eyes and kill brain cells. Thats one thing kids and adults dont notice. You need your brain cells for school. Joins and other activities, computers can also distract you from completing work, and then you have to stay up late to finish homework should come before the computer. Time flys by as your clicking and typing. The next thing you know as it's ten o'clock and your work is not completed. Since my schedule is so busy after school. I try to complete my work, then go to the computer before dance. This way I am my friends and relax. Taking time away from the computer is a smart idea. As it comes to @DATE1 time the weather is going to be beautiful and you don't want to waste a pretty day on the computer, @CAPS5 human body needs oxygen. Clearly, computers don't supply that. A great way to recieve oxygen is going outside for some exersize and energy. Playing outside can offer a lot more than a computer. You can swim, jump, or play sports. My doctor once told me, "" Everyone should have atleast an hour of exersize a day. ""You can't accomplish that by sitting at your computer. Next time there is sunshine out, no matter what season it is, go outside and take a break from electronics. Spending time with family and friends is a fun way to stay off the computer. Friends and Family are not people to take advantage of. They are people who are there for you when you are down and make you laugh. When your relatives come to town that you havn't seen in a while, You don't want to spend it on the computer. Talking and catching up with one another is a great way to re-connect. During family holidays, we don't bring our computers. We shut them off to spend time with each other. Friends and family are special gifts. So, don't throw away friendships or relationships with your family. Get away from the computer and bond. (did not finish)"	5	5		10																					
1095	1	"Dear Newspaper, I thought that I should express my concern. @CAPS4 are becoming to dependant on computers. @CAPS4 need to go outside more and be active. While some people @MONTH1 think were not wasting our time on the computer. I @CAPS3. I'll should only go on if it is nessesary. People are always coming up with @CAPS2 gaming ideas to draw people in, but what people dont realize is that is doesent only waste there time in waste our money too. Electricys bills are trough the roughtAlso instead og going out to meet @CAPS1 people are staying home and talking on social networking sites which make them less social. Children are not enrolling in sports which makes them losse any physical strength they would get. Also children could be getting over wait by just sitting there with no pysical activitys, @CAPS2 ideas like microsoft word is fine but going on every day for games is. Teachers, parent, and all need to show these that the computer is not the only thing, Computers can benifit us very well, by letting us have knoledge of somthing at the tip of our fingers. Computers can and will take away family and friend time. Now im not saying that computer but what am saying is that it effects everyone around you, @CAPS3 just the person thats using it. What @CAPS4 need to @CAPS3 is get together and unite. @CAPS4 need to go outside more, and exersise. @CAPS4 need to stop the computer with adults. Therfore, lets make this a better place. and get out and have a little time for going on to the computer."	4	4		8																					
1106	1	"Dear @CAPS1 of @ORGANIZATION1, @CAPS2 you know that eight out of ten homes in @LOCATION1 have at least one computer if not more? Computers help us with daily things and make many tasks, like writing an essay, much easier. They benefit our society in many ways. Without computers some families would lose contact with loved ones who are far away, not to mention it can keep many things very organized and neat easily. Maybe the best benifit is how you can learn about far away countries and cultures with the click of a button. Computers have endless posibilities to how they can benifit our society. Many people don't realize that some families can not be with eachother so easily as other. If a family member is in the service somtimes talking on the computer is the only chance they get to commnunicate with their loved ones back home. Saying that this is not a benifit is a lie. For others who don't have such sevier need of communicating it is still a convinient way to have a conversation with someone far away without racking up the phone bill for a long distance call. Also many times this can be an altenative to parents buying their children expensive cell phones. So having a computer is defanitly a benifit to communiting. The computer can also make many tasks much esier, for example if you were assiangned a @NUM1 pages essay in school typing it on the computer would be much neater and quicker than writing it all out. Also many buisnesses relay on computers to keep data organized and all in place. Like the program excel, @ORGANIZATION2 created this to make a simple way to organize data. It is much more efficient than than having every thing in different site with millions of texters in every draw. So another benifit of the computer is that it can keep tthings organized and poride easy ways to complete evey day tasks. Maybe the greatest benifit of the computer is how much you can learn so easily. Say I was curiouse about the recent earthquake in @LOCATION2, if I wanted more inofrmartion @CAPS3 head straight to the computer. You simply go to @ORGANIZATION3 or another search engine of your choice, type in the subject, one click, and bam you could read for hours all of the websites and articles that would come up. The computer is full of information, and is right at our finger tips, this is definitly a huge benifit to our socierty. The computer is a wonderful tool that can asist in so many ways, wether it is communication organization, or just curiosity. This advance in technology is just another way to improve every day life. Computers don't just benifit our little town of @LOCATION1, they benifit our whole socoety in all of the amazing things they do. "	5	4		9																					
1126	1	"@ORGANIZATION1, I strongly believe that we need computers. Computers are very helpful they are a very big part in are world, ability to learn about very interesting facts, and they allow people talk online too. After reading my letter I hope you agree with me. First of all compters are important because as our world gets more technilque inclined compters are need for almost every job and you will want people to know how to work a computer. Police officers use compters to find want criminals and put criminals into the computer to keep them on files. Schools use computers everyday for kids to do reports on, find information, and do homework on too. As a student I know that kids use computers all the time. For example @TIME1 I used computers to do my math homeworks that my teacher assigned me. After you read my letter I hope you will agree with me. Secondly you have the ability to research places all over the world. Another good thing with computers is that you can look up the news and be updated everything that is going on right now. Computers are just great to use because if you don't like write you have a computer and you might even get it done faster if you are a good and fast type. I use computers to do all my essays and book reports for @LOCATION1 I also use it for look at the news to see ehats going on in the world. Lastly computers are get because they allow you to talk to people online. You can either email them or talk to them from a web cam. Online chat is good to keep in touch with a friend from far away or even ask a friend ehat the homework was tonight. I like to ise a web cam for the reasons I just listed because on my birthday my sister could't come home from college so we hooked up some web cams so she could be there when we open presents and song happy birthday. After you read my letter I hope you will agree with me. I hope I have persuaded you to show you that computers are very important and that why we use them so much beccause computers are very helpful, they give you the ability to learn interesting facts and they allow you to talk to people online."	5	5		10																					
1142	1	"Dear @PERSON1, @CAPS1 you know that @PERCENT1 of @CAPS2 spend to much time on their computers. I belive people should spend more time outside with their family. This can certainly lead to brain problems, hard time seeing and the biggest thing is death. First of all there are people with brain problems because they are on the computer to much. When they are out with their family they think of their computer. People stay on their computer for a non-stop amount of time. In a resent survey it showed that teenagers stay on the computers the most. Most people don't have a life outside their computer room. Most of all eye doctors have been getting call from parents. They are worried that their child/children have a hard time seeing. I interviewed an eye doctor and this is what he had to say, ""I had one child come into @CAPS3 office and he had the hardest time seeing"". He asked the kids mother why is he having a hard time seeing and she said, ""@CAPS3 son spends on average of three and a half hours on the computer."" The child had to get a pair of special glasses so that he could see better. These glasses aare really expensive. I have read about children and adults deing from using the computer to much. They have fried their brain from using the computer to much. Their brain tells them to do things that are illegal. For example: breaking in homes, killing people, and high sacking cars. I heard one kid used the computer to much that he started to kill people and got shot by a cop. The more people die from using the computer to much the higher the death toll will be. It is now or never @CAPS3 friends out there to work together on cutting down on how much we use the computer. I'm sure that no one wants to be part of the death toll until we really have to. It is time to go outside and have fun with your family. They miss spending time with you. So get off your butt and go outside. But wait, make sure you trun your computer off so that you are not temted to go back on it."	4	4		8																					
1147	1	"Dear @ORGANIZATION1 staff, Are computers helpful to us regularly? Computers are very helpful machines that increase productivity daily. Computers not only help people discover @ORGANIZATION1 places and learn more about other parts of the world, but also computer allow people to communicate with others around the world. In addition, computers have word processor and other applications that help workers do their jobs daily. So, now do computers help people learn more about our earth? Many teachers and students use computers daily to help them teach. There are many online websites that help students discover and process different areas around the world. For example, there is a @LOCATION1 website (www.canadamaps.org) and this website has a map and students have to match the place/area onto the map. There are also website such as mapquest & yellowpages to help people navigate cross country and around town. As you can see, computers also help students education and just our everyday life. A large amount of teenagers of all ages like to use a programs on computers called @CAPS1. @CAPS1 stands for @ORGANIZATION2 @CAPS2 @CAPS3. This program allows people of all ages to talk with their friends or colleages instantly. What one does, is type in a chat box to someone and the message is instantly sent to the person. Emailing is used for many things. To catch up with friends, or to talk something with another. One can also attach documents that @MONTH1 consist. Emailing helps things go faster as well as your computers. But, if your newspaper were written out by hand, then that would take a lot of time, people, paper, & money. As you can even see, @ORGANIZATION1, computers are a necessity! So, as you can see computers really are needed. Computers affect us in many ways that aren't noticed clearly or easily. Like I said, computers teach and help people learn about different places among the world today, helps us communicate with others around us or in @LOCATION2! And as well, allow us to bring our work, family, friends, and cases everywhere we, in addition to computers allowing us to word process papers so our lives are ease for our everyday life. So, don't spent your life on the computer but use it for our needs. Please use computers to help our everyday routine. Stop writing on that pad, get up and type it on your computer!"	4	5		9																					
1149	1	"Dear Newspaper, Advances in technology, while amazing, don't always have a positive effect on society. That is why, I honestly believe computers do not benefit my community. For instance, computers can be very dangerous and people these days just seem to spend too much time using them! Not to mention, computers cost way too much money. To begin, my mom and dad always say, ""don't talk to strangers,"" when I go out. I think they should say the same when I go to use my computer. Computers can truly be dangerous for someone who isn't careful. For example, online predators often depict themselves as someone they aren't. Therefore, you can't ever really trust someone you simply met in a chat room. Also, cyber bullying is another problem computers put people at risk for. Another danger computers have, is anything posted on the internet can be accessed by almost anyone. This includes pictures, blogs, comments and. I believe society would be better off without the constant worry of a computer! Secondly, people, especially the younger generation, spend excessive amounts of time on computers. Some people spend hours each day using a computer when they could be doing an activity that actually benefited them. If people spent just as much time helping their community as much time helping their community as they did on the computer, the world would be a much better place to live. Not to mention, it would bring people closer to one another. Computers seem to control peoples' lives and that just isn't healthy. I think people should spend more time living and less time with their faces glued to a computer screen! Lastly, computers are like vampires, sucking away your money. In @DATE1's economy people need to be saving their money for college or even simpler things like a new pair of shoes! Additionaly, at the rate that technology is advances, even the most high-tech computers are out of date in a year or two and a new one is needed. Also, computers' prices are constantly rising. It is very hard to keep up! I strongly believe computers are a waste of money and bring society down. All in all, computers just are a negative attribute in communities across the @LOCATION1. First off they can be dangerous. Secondly, they are too time consuming and, thirdly, computers are too expensive. Computers just simply are a hassle in @DATE1's world."	5	5		10																					
1152	1	"Dear local newspaper, I am writing to you today about how more and more people are using computers. I think that this is great. The reasons why I think so is because it teaches hand-eye coordination, it gives people the ability to learn about faraway places and people, and it also allows people to talk online with other people. Keep reading to find out more. The first reason why I think that more and more people are using computers is because it teaches people better hand-eye coordination, for example, there could be a program for the computer that teaches you to type with your hands and not just your index fingers. You then can learn how to do all this without even looking at the keyboard. Keep reading for more information. The second reason why I think that more and more people are using computers is because it gives people the ability to learn about faraway places and people. For example, if you have a project for school and you are doing research on another country, you could use your computer to get more information about their religions or just the whole country in general. You can also use the computer to look up different kinds of people. You can look up people like @PERSON1 from @DATE1's to @PERSON2 who is our presiden now. Keep reading for more information. The last reason why I think that more and more people are using computers is because it allows people to talk online with other people. For example, you could set up and account on facebook, myspace, @CAPS1, or @CAPS2 and start talking to people. You could get to know some kids who live in you neighborhood that you never even knew. Keep reading to find out more. Lastly, I think that more and more people are using computers is agreat thing. They can learn hand-eye coordination, have the ability to learn about faraway places and people, and have the opportunity to talk to other people online. I talked to the people who have just started to use computers and @NUM1 out of @NUM2 people said that they had liked what they had seen. So, I want you to go out there and get a computer and see what you think about it. Thank you."	4	4		8																					
1153	1	"Imagine this: You entered a raffle at your child's school for an all-expense paid trip to @LOCATION1, and you won! You are so excited until you realize you know nothing about @LOCATION1. You don't know what the weather is like, you don't know what kinds of food they eat. You're not quite sure how to prepare for the trip. So you go online and learn everything and anything about @LOCATION1. You pack appropriatly, and you have a great time. All because you had a computor. Computers can help you get a better education, no matter what your age. It also gives you the ability to keep in touch with friends and family, and are necessary for many jobs. Computers help many people learn about different countries and cultures. We know so much more about other places now than we did before computers. But computers can teach you so much more than just different countries. They can teach a whole new language, or help you understand the science lesson better. There are many online colleges where you can learn the lessons online and on your own time which is good if your really busy. The internet is a great way to keep in touch with your friends and family. You can use email, instant messaging, video chatting, or you can make an account on websites like facebook or myspace. For example, my cousin is in the navy, he has been for @NUM1 years, and before I got a facebook, I had lost touch. Now I talk to him all the time. When most people hear computers, the first thing that pops into their head is ""internet"". But that's not all a computer is good for. Nowadays, many jobs use computers. Banks, @CAPS1, teachers, @CAPS2, even cashiers. Computers are no longer a luxury; they have become a necesity. In fact, @NUM2 out of @NUM3 jobs require a computer. Computers allow you to type up that book report, or make a very important letter look professional. Computers have changed the world; and once it's changed there's no going back. So, it looks like access to a computer made that trip to @LOCATION1 easier. Clearly, computers have become a part of every day life. You can keep in touch with your friends and use it for your job. But most importantly, you can learn so much!"	5	4		9																					
1161	1	"To @CAPS1 it @MONTH1 concern, today people of all ages are useing computers. Computers are a great way to do reports, talk to friends & family, & also to research things you @MONTH1 have needed to know. Kids in @ORGANIZATION1 have many projects to do & most of these projects involve writing a paper. Teacher have troble reading other hand writing so it would be helpful for the students to use the computer to print out a very neat paper. The computer has many ways that you can write that paper & now it will be very helpful. The near by libarry will always have extra computers students can use to write a papper. If you walk by a teenager on the internet, now a days you @MONTH1 find them on '@CAPS2'. '@CAPS2' is a website to talk to friends & relatives. Some of these relatives @MONTH1 live very far away or not have a phone to talk on, so you can talk to them here. Some people think '@CAPS2' is 'stupid' & can't be any good, because it takes away time for homework, but what if a @CAPS3 forgot to write down the homework? The @CAPS3 could go on '@CAPS2' & chat with a friend from @ORGANIZATION1 to get that home work. There are many search engines on the computer such as '@CAPS4 pile', '@CAPS5', or even the ever most popular '@ORGANIZATION2'. Most people use these web pages to research for papers, trips, or even just to find out random information. Many people want to go to @LOCATION2 or @LOCATION1 for @CAPS6, but don't know what to do when they get there. By going on one of the search engines they would find that in @LOCATION1 they could go to the @LOCATION1 zoo. In @LOCATION2 they could go to @CAPS7 world or the @CAPS8 @CAPS9 @CAPS10 to learn all about @CAPS11 & how it is in a @CAPS9. Thank you for taking the time to read this & I hope you will look into what I said."	4	4		8																					
